design.opt
               opt.weight
      9.6 0.4 0.008325008
      9.4 2.0 0.015318015
      8.0 1.2 0.013320013
x.hat 9.6 2.4 0.010989011
x.hat 7.8 1.6 0.000999001
x.hat 9.2 0.2 0.000999001
x.hat 9.8 2.0 0.017982018
x.hat 7.7 1.2 0.000999001
x.hat 9.6 0.1 0.020979021
x.hat 9.3 2.2 0.019980020
x.hat 9.4 0.5 0.014985015
x.hat 7.5 1.5 0.000999001
x.hat 9.0 0.1 0.002997003
x.hat 8.0 1.5 0.020979021
x.hat 9.6 1.9 0.010989011
x.hat 7.7 1.0 0.009990010
x.hat 9.3 0.0 0.014985015
x.hat 9.3 2.4 0.024975025
x.hat 9.8 2.2 0.005994006
x.hat 9.7 0.3 0.013986014
x.hat 9.2 0.4 0.022977023
x.hat 7.5 1.2 0.000999001
x.hat 7.7 1.7 0.017982018
x.hat 9.5 2.4 0.005994006
x.hat 9.5 0.3 0.002997003
x.hat 7.8 1.4 0.006993007
x.hat 9.2 0.0 0.015984016
x.hat 9.9 2.1 0.012987013
x.hat 7.9 1.1 0.019980020
x.hat 9.5 2.1 0.000999001
x.hat 9.5 0.0 0.013986014
x.hat 8.0 1.6 0.009990010
x.hat 9.6 0.5 0.008991009
x.hat 9.8 2.4 0.000999001
x.hat 7.6 1.4 0.008991009
x.hat 9.7 1.9 0.011988012
x.hat 7.8 1.8 0.000999001
x.hat 9.0 0.2 0.000999001
x.hat 8.0 1.4 0.016983017
x.hat 9.5 0.2 0.002997003
x.hat 9.6 2.2 0.006993007
x.hat 7.7 1.1 0.009990010
x.hat 7.6 1.6 0.016983017
x.hat 9.3 2.1 0.008991009
x.hat 9.1 0.0 0.009990010
x.hat 9.3 0.4 0.011988012
x.hat 9.9 2.0 0.011988012
x.hat 9.5 2.5 0.012987013
x.hat 7.9 1.3 0.000999001
x.hat 7.9 1.7 0.017982018
x.hat 9.8 2.3 0.019980020
x.hat 9.4 0.0 0.016983017
x.hat 7.6 1.3 0.009990010
x.hat 9.1 0.3 0.016983017
x.hat 9.5 0.5 0.013986014
x.hat 7.8 1.1 0.009990010
x.hat 9.4 2.4 0.003996004
x.hat 9.3 0.2 0.005994006
x.hat 9.7 2.1 0.000999001
x.hat 9.7 0.2 0.016983017
x.hat 9.7 2.4 0.020979021
x.hat 9.3 0.5 0.007992008
x.hat 7.5 1.3 0.007992008
x.hat 9.5 2.0 0.018981019
x.hat 9.1 0.1 0.016983017
x.hat 7.9 1.2 0.005994006
x.hat 9.3 2.3 0.013986014
x.hat 7.6 1.1 0.012987013
x.hat 7.9 1.5 0.000999001
x.hat 9.5 0.4 0.004995005
x.hat 7.6 1.5 0.014985015
x.hat 8.0 1.3 0.020979021
x.hat 7.8 1.0 0.009990010
x.hat 9.4 2.2 0.000999001
x.hat 9.9 2.2 0.010989011
x.hat 9.7 0.4 0.021978022
x.hat 7.8 1.7 0.015984016
x.hat 9.6 2.0 0.008991009
x.hat 9.1 0.2 0.015984016
x.hat 7.5 1.4 0.008991009
x.hat 9.4 0.3 0.003996004
x.hat 7.7 1.4 0.002997003
x.hat 9.8 1.9 0.003996004
x.hat 9.5 2.2 0.003996004
x.hat 7.6 1.2 0.014985015
x.hat 7.8 1.5 0.004995005
x.hat 9.6 0.2 0.001998002
x.hat 9.7 2.0 0.005994006
x.hat 9.5 0.1 0.003996004
x.hat 9.7 2.3 0.000999001
x.hat 9.5 1.9 0.000999001
x.hat 7.9 1.6 0.006993007
x.hat 9.4 0.4 0.004995005
x.hat 7.8 1.3 0.005994006
x.hat 9.4 0.2 0.006993007
x.hat 9.4 2.5 0.009990010
x.hat 9.8 2.1 0.000999001
x.hat 9.4 2.1 0.011988012
x.hat 9.3 0.3 0.000999001
x.hat 7.7 1.3 0.000999001
x.hat 9.7 2.2 0.003996004
x.hat 9.6 2.1 0.001998002
x.hat 9.6 2.5 0.003996004
x.hat 9.5 2.3 0.002997003
x.hat 7.7 1.5 0.000999001
x.hat 9.6 2.3 0.000999001
x.hat 9.2 0.3 0.002997003
x.hat 7.7 1.6 0.000999001
