design.opt <- cbind(design1.uniq,opt.weight)
> design.opt
opt.weight
9.6 0.4 0.030303030
9.4 2.0 0.049284049
8.0 1.2 0.038295038
x.hat 9.6 2.4 0.042957043
x.hat 7.8 1.6 0.036963037
x.hat 9.2 0.2 0.039960040
x.hat 9.8 2.0 0.032967033
x.hat 7.6 1.2 0.031968032
x.hat 9.6 0.2 0.015984016
x.hat 9.2 2.2 0.035964036
x.hat 9.4 0.6 0.001998002
x.hat 7.8 1.0 0.034965035
x.hat 9.4 0.0 0.032967033
x.hat 8.0 1.4 0.039960040
x.hat 9.8 0.4 0.036963037
x.hat 9.6 2.2 0.007992008
x.hat 9.2 2.4 0.032967033
x.hat 7.6 1.4 0.036963037
x.hat 9.2 0.4 0.011988012
x.hat 9.4 2.6 0.004995005
x.hat 7.6 1.6 0.004995005
x.hat 7.6 1.0 0.031968032
x.hat 9.4 0.4 0.048951049
x.hat 9.8 2.2 0.036963037
x.hat 9.2 0.0 0.025974026
x.hat 9.4 2.2 0.012987013
x.hat 7.8 1.4 0.019980020
x.hat 9.6 0.6 0.013986014
x.hat 7.4 1.2 0.000999001
x.hat 9.6 2.0 0.035964036
x.hat 7.8 1.2 0.006993007
x.hat 9.6 0.0 0.034965035
x.hat 7.4 1.4 0.000999001
x.hat 9.4 2.4 0.032967033
x.hat 9.4 0.2 0.008991009
x.hat 9.8 0.2 0.030969031
x.hat 9.8 2.4 0.005994006
x.hat 8.0 1.6 0.001998002
x.hat 8.0 1.0 0.029970030
x.hat 7.8 0.8 0.016983017
