design.opt
                   opt.weight
      10.00 0.00 0.0712620713
       9.20 2.00 0.0013320013
       8.00 0.80 0.0003330003
x.hat  9.66 1.86 0.0009990010
x.hat  8.28 0.42 0.0009990010
x.hat  8.22 0.86 0.0009990010
x.hat  9.46 2.24 0.0009990010
x.hat 10.00 0.40 0.0009990010
x.hat  7.92 0.52 0.0009990010
x.hat  9.18 2.00 0.0009990010
x.hat  9.66 0.04 0.0009990010
x.hat  7.86 0.90 0.0019980020
x.hat  9.64 1.88 0.0009990010
x.hat 10.00 0.36 0.0099900100
x.hat  7.96 0.46 0.0019980020
x.hat  9.18 2.02 0.0409590410
x.hat  9.66 0.02 0.0009990010
x.hat  7.88 0.90 0.0009990010
x.hat  9.50 2.24 0.0009990010
x.hat  8.22 0.80 0.0009990010
x.hat  9.66 1.92 0.0009990010
x.hat  8.00 0.44 0.0009990010
x.hat  9.64 0.04 0.1288711289
x.hat  9.64 1.90 0.0159840160
x.hat  9.48 2.26 0.0079920080
x.hat  8.20 0.80 0.0019980020
x.hat  7.86 0.92 0.1238761239
x.hat  7.98 0.46 0.1218781219
x.hat  7.88 0.92 0.0009990010
x.hat  9.64 0.06 0.0009990010
x.hat  8.22 0.78 0.0739260739
x.hat  8.00 0.46 0.0039960040
x.hat  9.98 0.36 0.1128871129
x.hat  9.48 2.28 0.0629370629
x.hat  9.62 1.90 0.1088911089
x.hat  9.18 2.04 0.0919080919
